,Fold,k,sigma,epsilon,Error
0,0,4,,,0.2001262626262625
1,0,5,,,0.1473063973063972
2,0,6,,,0.2001262626262625
3,0,7,,,0.2001262626262625
4,0,8,,,0.2713068181818181
5,1,4,,,0.1287878787878787
6,1,5,,,0.1473063973063972
7,1,6,,,0.2001262626262625
8,1,7,,,0.2001262626262625
9,1,8,,,0.2713068181818181
10,2,4,,,0.1287878787878787
11,2,5,,,0.1473063973063972
12,2,6,,,0.2001262626262625
13,2,7,,,0.2001262626262625
14,2,8,,,0.2713068181818181
15,3,4,,,0.0852272727272727
16,3,5,,,0.1473063973063972
17,3,6,,,0.1473063973063972
18,3,7,,,0.1473063973063972
19,3,8,,,0.2713068181818181
20,4,4,,,0.12878787878787878
21,4,5,,,0.20012626262626254
22,4,6,,,0.20012626262626254
23,4,7,,,0.20012626262626254
24,4,8,,,0.2713068181818181
25,5,4,,,0.12878787878787878
26,5,5,,,0.18434343434343436
27,5,6,,,0.2713068181818181
28,5,7,,,0.2713068181818181
29,5,8,,,0.2713068181818181
30,6,4,,,0.21818181818181825
31,6,5,,,0.29626623376623373
32,6,6,,,0.29626623376623373
33,6,7,,,0.29626623376623373
34,6,8,,,0.2744588744588745
35,7,4,,,0.12878787878787878
36,7,5,,,0.14730639730639727
37,7,6,,,0.20012626262626254
38,7,7,,,0.20012626262626254
39,7,8,,,0.29626623376623373
40,8,4,,,
41,8,5,,,
42,8,6,,,
43,8,7,,,
44,8,8,,,
45,9,4,,,
46,9,5,,,
47,9,6,,,
48,9,7,,,
49,9,8,,,
