,Fold,k,sigma,epsilon,Error
0,0,4,4,2,21.98718351789656
1,0,4,4,3,23.091926904998136
2,0,4,4,4,23.091926904998136
3,0,4,4,5,23.091926904998136
4,0,4,4,6,23.091926904998136
5,0,4,13,2,22.02612322902588
6,0,4,13,3,23.228264036479874
7,0,4,13,4,23.228264036479874
8,0,4,13,5,23.228264036479874
9,0,4,13,6,23.228264036479874
10,0,5,4,2,21.25178109522981
11,0,5,4,3,21.25178109522981
12,0,5,4,4,21.25178109522981
13,0,5,4,5,21.25178109522981
14,0,5,4,6,21.25178109522981
15,0,5,13,2,21.13391590885849
16,0,5,13,3,21.13391590885849
17,0,5,13,4,21.13391590885849
18,0,5,13,5,21.13391590885849
19,0,5,13,6,21.13391590885849
20,0,6,4,2,21.83908037848672
21,0,6,4,3,21.83908037848672
22,0,6,4,4,21.83908037848672
23,0,6,4,5,21.83908037848672
24,0,6,4,6,21.83908037848672
25,0,6,13,2,21.983305548573263
26,0,6,13,3,21.983305548573263
27,0,6,13,4,21.983305548573263
28,0,6,13,5,21.983305548573263
29,0,6,13,6,21.983305548573263
30,0,7,4,2,22.23004524055944
31,0,7,4,3,22.23004524055944
32,0,7,4,4,22.23004524055944
33,0,7,4,5,22.23004524055944
34,0,7,4,6,22.23004524055944
35,0,7,13,2,22.300927028868244
36,0,7,13,3,22.300927028868244
37,0,7,13,4,22.300927028868244
38,0,7,13,5,22.300927028868244
39,0,7,13,6,22.300927028868244
40,0,8,4,2,20.618071548263856
41,0,8,4,3,20.618071548263856
42,0,8,4,4,20.618071548263856
43,0,8,4,5,20.618071548263856
44,0,8,4,6,20.618071548263856
45,0,8,13,2,20.39819204732151
46,0,8,13,3,20.39819204732151
47,0,8,13,4,20.39819204732151
48,0,8,13,5,20.39819204732151
49,0,8,13,6,20.39819204732151
50,1,4,4,2,23.100722957541187
51,1,4,4,3,23.100722957541187
52,1,4,4,4,23.100722957541187
53,1,4,4,5,23.100722957541187
54,1,4,4,6,23.100722957541187
55,1,4,13,2,23.15022635108685
56,1,4,13,3,23.15022635108685
57,1,4,13,4,23.15022635108685
58,1,4,13,5,23.15022635108685
59,1,4,13,6,23.15022635108685
60,1,5,4,2,21.7130690715544
61,1,5,4,3,21.7130690715544
62,1,5,4,4,21.7130690715544
63,1,5,4,5,21.7130690715544
64,1,5,4,6,21.7130690715544
65,1,5,13,2,21.62710239779905
66,1,5,13,3,21.62710239779905
67,1,5,13,4,21.62710239779905
68,1,5,13,5,21.62710239779905
69,1,5,13,6,21.62710239779905
70,1,6,4,2,20.813914037017945
71,1,6,4,3,20.813914037017945
72,1,6,4,4,20.813914037017945
73,1,6,4,5,20.813914037017945
74,1,6,4,6,20.813914037017945
75,1,6,13,2,20.61046498694076
76,1,6,13,3,20.61046498694076
77,1,6,13,4,20.61046498694076
78,1,6,13,5,20.61046498694076
79,1,6,13,6,20.61046498694076
80,1,7,4,2,21.17872030595663
81,1,7,4,3,21.17872030595663
82,1,7,4,4,21.17872030595663
83,1,7,4,5,21.17872030595663
84,1,7,4,6,21.17872030595663
85,1,7,13,2,20.961893300669605
86,1,7,13,3,20.961893300669605
87,1,7,13,4,20.961893300669605
88,1,7,13,5,20.961893300669605
89,1,7,13,6,20.961893300669605
90,1,8,4,2,20.11682809200218
91,1,8,4,3,20.11682809200218
92,1,8,4,4,20.11682809200218
93,1,8,4,5,20.11682809200218
94,1,8,4,6,20.11682809200218
95,1,8,13,2,19.65221252919927
96,1,8,13,3,19.65221252919927
97,1,8,13,4,19.65221252919927
98,1,8,13,5,19.65221252919927
99,1,8,13,6,19.65221252919927
100,2,4,4,2,22.680191722777003
101,2,4,4,3,22.680191722777003
102,2,4,4,4,22.680191722777003
103,2,4,4,5,22.680191722777003
104,2,4,4,6,22.680191722777003
105,2,4,13,2,22.6079260575762
106,2,4,13,3,22.6079260575762
107,2,4,13,4,22.6079260575762
108,2,4,13,5,22.6079260575762
109,2,4,13,6,22.6079260575762
110,2,5,4,2,22.319071639238288
111,2,5,4,3,22.319071639238288
112,2,5,4,4,22.319071639238288
113,2,5,4,5,22.319071639238288
114,2,5,4,6,22.319071639238288
115,2,5,13,2,22.42618371397978
116,2,5,13,3,22.42618371397978
117,2,5,13,4,22.42618371397978
118,2,5,13,5,22.42618371397978
119,2,5,13,6,22.42618371397978
120,2,6,4,2,21.73015128338261
121,2,6,4,3,21.73015128338261
122,2,6,4,4,21.73015128338261
123,2,6,4,5,21.73015128338261
124,2,6,4,6,21.73015128338261
125,2,6,13,2,21.6749664003772
126,2,6,13,3,21.6749664003772
127,2,6,13,4,21.6749664003772
128,2,6,13,5,21.6749664003772
129,2,6,13,6,21.6749664003772
130,2,7,4,2,22.73137819878723
131,2,7,4,3,22.73137819878723
132,2,7,4,4,22.73137819878723
133,2,7,4,5,22.73137819878723
134,2,7,4,6,22.73137819878723
135,2,7,13,2,22.874699838944714
136,2,7,13,3,22.874699838944714
137,2,7,13,4,22.874699838944714
138,2,7,13,5,22.874699838944714
139,2,7,13,6,22.874699838944714
140,2,8,4,2,21.798162744040287
141,2,8,4,3,21.798162744040287
142,2,8,4,4,21.798162744040287
143,2,8,4,5,21.798162744040287
144,2,8,4,6,21.798162744040287
145,2,8,13,2,21.807914218201628
146,2,8,13,3,21.807914218201628
147,2,8,13,4,21.807914218201628
148,2,8,13,5,21.807914218201628
149,2,8,13,6,21.807914218201628
150,3,4,4,2,22.05155426072531
151,3,4,4,3,22.05155426072531
152,3,4,4,4,22.05155426072531
153,3,4,4,5,22.05155426072531
154,3,4,4,6,22.05155426072531
155,3,4,13,2,22.033756593139955
156,3,4,13,3,22.033756593139955
157,3,4,13,4,22.033756593139955
158,3,4,13,5,22.033756593139955
159,3,4,13,6,22.033756593139955
160,3,5,4,2,21.892746160913347
161,3,5,4,3,21.892746160913347
162,3,5,4,4,21.892746160913347
163,3,5,4,5,21.892746160913347
164,3,5,4,6,21.892746160913347
165,3,5,13,2,22.023242062236545
166,3,5,13,3,22.023242062236545
167,3,5,13,4,22.023242062236545
168,3,5,13,5,22.023242062236545
169,3,5,13,6,22.023242062236545
170,3,6,4,2,21.457411572331846
171,3,6,4,3,21.457411572331846
172,3,6,4,4,21.457411572331846
173,3,6,4,5,21.457411572331846
174,3,6,4,6,21.457411572331846
175,3,6,13,2,21.44474287546972
176,3,6,13,3,21.44474287546972
177,3,6,13,4,21.44474287546972
178,3,6,13,5,21.44474287546972
179,3,6,13,6,21.44474287546972
180,3,7,4,2,21.93709980240111
181,3,7,4,3,22.603237646816144
182,3,7,4,4,22.603237646816144
183,3,7,4,5,22.603237646816144
184,3,7,4,6,22.603237646816144
185,3,7,13,2,22.023875600577853
